model,scenario,region,variable,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|N2O|Agricultural Waste Burning,Mt N2O/yr,0.034918558,0.03598785,0.035666026,0.036928553,0.038277417,0.03914146,0.03957805,0.040881623,0.043556254,0.043086432,0.044345874,0.04618089,0.04612031,0.048243754,0.048600413,0.048472453,0.048930474,0.05107407,0.050751694,0.050501257,0.050980505,0.051502675,0.05182433,0.052171208,0.052650914,0.05294641
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NH3|Agricultural Waste Burning,Mt NH3/yr,1.0379672,1.0684252,1.0529315,1.083304,1.1290212,1.1544456,1.161761,1.1958562,1.2748076,1.265541,1.2980064,1.3529205,1.358521,1.4163886,1.4272544,1.4255489,1.443197,1.5242563,1.501832,1.5094016,1.5201912,1.5253183,1.5336659,1.5422742,1.5541811,1.5602763
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NMVOC|Agricultural Waste Burning,Mt NMVOC/yr,2.8222353,2.9028976,2.8761156,3.0340986,3.0938783,3.1656609,3.239237,3.3711834,3.5720177,3.5389442,3.6722443,3.790351,3.8184853,4.0036592,4.0254793,4.019517,4.07171,4.2342653,4.223873,4.2464476,4.2783413,4.293581,4.3181434,4.3433733,4.378133,4.395849
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NOx|Agricultural Waste Burning,Mt NO/yr,0.89001995,0.9181805,0.9154074,0.9520403,0.9816814,1.0036006,1.0210048,1.0625405,1.1302099,1.1225924,1.1586952,1.2059892,1.2051328,1.2664831,1.276046,1.2776548,1.2936747,1.3429096,1.3321044,1.3374972,1.3458318,1.3489108,1.3549306,1.3611586,1.3703811,1.3742394
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|OC|Agricultural Waste Burning,Mt OC/yr,1.8505778,1.9070435,1.8902543,1.9569077,2.0290208,2.0740364,2.0977807,2.1735113,2.31594,2.2984602,2.3667798,2.4643698,2.4699116,2.5875368,2.6082978,2.6077485,2.640899,2.7692442,2.736161,2.748781,2.7673588,2.7753425,2.7892847,2.80367,2.824143,2.8337758
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|SO2|Agricultural Waste Burning,Mt SO2/yr,0.1966182,0.20367327,0.20409665,0.21108943,0.2192016,0.22465232,0.22767237,0.23665434,0.2514957,0.2498281,0.25887316,0.27041796,0.2681517,0.2831292,0.28641286,0.288428,0.29184777,0.30276853,0.2994083,0.3004264,0.3021168,0.3026328,0.3038198,0.305062,0.3069848,0.3077099
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|BC|Commercial,Mt BC/yr,0.18677893,0.1824125,0.1820792,0.18601057,0.18783279,0.18971162,0.18625513,0.18532905,0.18677177,0.18660942,0.18973728,0.1877361,0.18136758,0.18456237,0.18543436,0.1799847,0.17652103,0.1775628,0.17868097,0.17796654,0.15229592,0.17679638,0.17622389,0.17569464,0.17583348,0.17476167
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CH4|Commercial,Mt CH4/yr,0.6892204,0.6754495,0.6743399,0.69810694,0.7124013,0.7224095,0.7191371,0.7170022,0.7311206,0.72789484,0.7477884,0.72937745,0.705876,0.7240091,0.7303864,0.7228396,0.7240437,0.7335782,0.73710585,0.7398679,0.66867006,0.7458229,0.7487456,0.751809,0.75788623,0.75834525
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO|Commercial,Mt CO/yr,7.3237348,7.2222204,7.3843746,7.6083446,7.742914,7.90302,7.8666153,7.9246073,8.048097,8.068055,8.198564,8.136604,7.72147,7.983776,8.167382,8.081619,8.06934,8.297537,8.311707,8.305693,7.61441,8.329308,8.342098,8.356711,8.402743,8.391146
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2|Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_excl_short-cycle_org_C|Commercial,Mt CO2/yr,937.7542,942.7696,949.6837,979.2529,1000.9969,1002.46326,985.826,991.0482,1009.3834,991.70264,1009.42584,987.6506,973.8794,1014.3518,995.6141,997.3809,1006.2881,1023.96436,1027.4492,1009.6194,969.26953,1013.28094,1023.10516,1033.1943,1048.2448,1054.2109
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_short-cycle_org_C|Commercial,Mt CO2/yr,699.7836,685.77124,689.02185,699.40643,697.96313,701.7035,701.7857,694.12787,691.7012,685.71704,688.5058,679.2133,669.3872,674.8452,672.61505,654.88995,640.13293,645.1785,640.66235,645.9228,637.2256,637.81354,644.18176,651.13477,660.92474,666.8756
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|N2O|Commercial,Mt N2O/yr,0.029330568,0.029140342,0.02852266,0.027904553,0.029756326,0.03099406,0.030913863,0.030673016,0.030810898,0.030024538,0.03128162,0.030255359,0.029306976,0.02922701,0.029316174,0.028536264,0.028222017,0.028257687,0.028136259,0.027937865,0.022820648,0.026981197,0.026946628,0.026913924,0.026993146,0.026854105
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NH3|Commercial,Mt NH3/yr,0.12766144,0.1272821,0.12912299,0.13203111,0.13419974,0.1369177,0.13771021,0.14003587,0.14239469,0.14478874,0.14775829,0.15049863,0.13937694,0.14665438,0.15348913,0.15348332,0.15484191,0.16318077,0.16345683,0.16451946,0.15467227,0.16672452,0.16784921,0.1689949,0.17068374,0.17135054
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NMVOC|Commercial,Mt NMVOC/yr,1.1214906,1.1080028,1.1293186,1.1593423,1.1820116,1.2100158,1.2058042,1.2157466,1.2368985,1.2421107,1.2665061,1.2601103,1.1969614,1.2408156,1.2738893,1.2585995,1.2506973,1.2924552,1.2969749,1.2948406,1.179382,1.291549,1.2901993,1.2891906,1.2929907,1.2881565
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NOx|Commercial,Mt NO/yr,1.3470447,1.3447942,1.3520726,1.3876463,1.4109411,1.412945,1.3889146,1.3944759,1.4117365,1.3960422,1.4135696,1.3807569,1.3541816,1.4077561,1.3887427,1.3760983,1.3758352,1.3896716,1.4277182,1.4273331,1.2212104,1.4286214,1.4287567,1.4291352,1.4360672,1.4306235
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|OC|Commercial,Mt OC/yr,0.5224372,0.5102277,0.51035154,0.5169429,0.5216806,0.5207782,0.5164364,0.51449376,0.51948965,0.5227157,0.5266163,0.5249668,0.5111474,0.51813275,0.5242468,0.51615113,0.5116355,0.51815337,0.52117914,0.519421,0.44944158,0.51669437,0.51537967,0.5141916,0.51488835,0.5121758
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|SO2|Commercial,Mt SO2/yr,2.3455074,2.3040347,2.1680007,2.1141105,2.1139145,2.0341787,2.014424,2.0085301,2.0206003,2.0358148,1.965278,1.9591385,1.9715532,1.9345717,1.9340243,1.9248502,1.9059957,1.9824139,1.996931,1.9934148,1.6706069,1.9923928,1.9924353,1.9936196,2.0040922,1.9995196
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|BC|dep,Mt BC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CH4|dep,Mt CH4/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO|dep,Mt CO/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2|dep,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_excl_short-cycle_org_C|dep,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_short-cycle_org_C|dep,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|N2O|dep,Mt N2O/yr,0.561823,0.5560975,0.5571875,0.56589335,0.58647,0.5948933,0.60513043,0.6211024,0.61488736,0.6026488,0.62690836,0.63759977,0.6385437,0.6406414,0.6416594,0.6380638,0.6310465,0.63709724,0.64591455,0.6460917,0.60851747,0.6375466,0.6398979,0.642268,0.6464234,0.6470656
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NH3|dep,Mt NH3/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NMVOC|dep,Mt NMVOC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
