year,LUH2-GCB2024,LUH2-CMIP6,LUH1-CMIP5
1919,-0.0973415332402627,-0.09930066927781973,-0.10037593484001313
1920,-0.09795572724733353,-0.09987086787176182,-0.10118657525206239
1921,-0.09879022268051829,-0.10070483541691663,-0.10209876763112384
1922,-0.09962470308922355,-0.10153883411097066,-0.10301090460563475
1923,-0.10045919294671365,-0.10237281766435363,-0.1039230680780225
1924,-0.10129367972505868,-0.10320682206106382,-0.10483525920153422
1925,-0.1021281713545089,-0.10404081716100243,-0.1057474382762046
1926,-0.10296265822700283,-0.10487477637520311,-0.10665960407213089
1927,-0.10379713078463386,-0.10570875307220756,-0.10757177524445162
1928,-0.10463162913991479,-0.10654273082564246,-0.10848394479941793
1929,-0.10546609958801391,-0.10737672902031666,-0.1093961188711152
1930,-0.10624197094033362,-0.10827726424842372,-0.11012555280751635
1931,-0.1069592515485688,-0.10924434369249479,-0.11067220897971917
1932,-0.10767653917676022,-0.11021143141601754,-0.1112188862258997
1933,-0.10839381165888742,-0.11117851114164291,-0.11176555794035549
1934,-0.1091110772151611,-0.11214560241606307,-0.11231225134637043
1935,-0.10982834188811737,-0.11311269066709104,-0.11285892200914202
1936,-0.11054561182030728,-0.11407976398695739,-0.11340560730826013
1937,-0.11126288124304926,-0.11504680424608706,-0.1139522531853849
1938,-0.1119801676833397,-0.1160139162079717,-0.11449893735146806
1939,-0.11269744495829127,-0.11698100194933267,-0.1150456116006217
1940,-0.11275809806491538,-0.11739216737987984,-0.11539059806429085
1941,-0.11216217841409008,-0.11724745166756012,-0.11553389447083331
1942,-0.11156626803361686,-0.11710275052051909,-0.11567715276468175
1943,-0.11097036036887231,-0.11695800495844176,-0.11582043864234871
1944,-0.11037443239629023,-0.11681324039824667,-0.11596371968362822
1945,-0.10977849953559339,-0.1166685274064549,-0.1161070012422305
1946,-0.10918258311851868,-0.11652381537637553,-0.11625029583509741
1947,-0.10858666049254215,-0.11637909921218867,-0.1163935497417896
1948,-0.10799074762087268,-0.11623435979101397,-0.11653685511167391
1949,-0.10739482546201046,-0.1160896118018515,-0.1166801418234495
1950,-0.10749460457858144,-0.11633420698362563,-0.11715549081704839
1951,-0.10838958658802582,-0.11696808331596122,-0.11796288345925811
1952,-0.10926646650127388,-0.11760197845514274,-0.11877024563201477
1953,-0.11001396852672282,-0.11823584815184952,-0.11957766499517379
1954,-0.1108486871838737,-0.11886971271596715,-0.12038506304985008
1955,-0.11172145146217545,-0.11950358578773787,-0.12119245181553696
1956,-0.11244999892744897,-0.12013746355021217,-0.12199983438239369
1957,-0.11308063819570985,-0.12077133266843543,-0.1228072304431164
1958,-0.11323645916596937,-0.12140519785038989,-0.12361463974020717
1959,-0.11289436987749163,-0.1220390749594119,-0.12442204301161665
1960,-0.11267038080231417,-0.12261010671424509,-0.12495970076964902
1961,-0.11268904378672108,-0.12311823690160476,-0.12522758781237395
1962,-0.11315780347414096,-0.12362639792067069,-0.12549551748211146
1963,-0.11367505017464992,-0.124134560109953,-0.12576344309102355
1964,-0.11387906780589209,-0.12464270494323586,-0.12603134613420272
1965,-0.1141360043265833,-0.12515085092034248,-0.12629925910928766
1966,-0.11420454608376007,-0.12565899732185296,-0.12656717867167327
