year,cmip5-hist,rcp26,rcp45,rcp60,rcp85,cmip6-hist,cmip6-hist-low,cmip6-hist-high,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534,ssp585,gcb-2024,gcb-2025,cmip7-hist,scen7-h,scen7-vl
1922,-0.10300939,,,,,-0.1015367,-0.102055356,-0.10102781,,,,,,,,,-0.09962289,-0.09998863,-0.09962293,,
1923,-0.10392158,,,,,-0.10237081,-0.10290981,-0.10184296,,,,,,,,,-0.100457214,-0.10083557,-0.10045721,,
1924,-0.10483388,,,,,-0.10320485,-0.103764154,-0.10265816,,,,,,,,,-0.101291515,-0.101682715,-0.10129148,,
1925,-0.105746225,,,,,-0.10403853,-0.10461861,-0.10347327,,,,,,,,,-0.1021259,-0.10252973,-0.10212598,,
1926,-0.10665836,,,,,-0.10487264,-0.10547311,-0.10428838,,,,,,,,,-0.10296083,-0.10337707,-0.102960825,,
1927,-0.1075703,,,,,-0.105706744,-0.106327474,-0.10510373,,,,,,,,,-0.10379501,-0.1042241,-0.103795014,,
1928,-0.10848226,,,,,-0.10654076,-0.10718204,-0.10591866,,,,,,,,,-0.10462947,-0.105071425,-0.10462949,,
1929,-0.109394625,,,,,-0.10737427,-0.10803634,-0.10673439,,,,,,,,,-0.105464004,-0.10591833,-0.10546403,,
1930,-0.11012387,,,,,-0.10827487,-0.108953804,-0.107622236,,,,,,,,,-0.106239825,-0.10668783,-0.106239825,,
1931,-0.11067051,,,,,-0.10924201,-0.10993489,-0.10858381,,,,,,,,,-0.10695727,-0.107379675,-0.1069573,,
1932,-0.11121714,,,,,-0.110209286,-0.110915504,-0.10954513,,,,,,,,,-0.10767445,-0.10807149,-0.107674465,,
1933,-0.11176404,,,,,-0.11117631,-0.111895986,-0.110506624,,,,,,,,,-0.108391866,-0.108763374,-0.10839181,,
1934,-0.11231078,,,,,-0.11214318,-0.11287678,-0.11146802,,,,,,,,,-0.10910908,-0.10945531,-0.10910914,,
1935,-0.11285727,,,,,-0.11311029,-0.11385774,-0.11242928,,,,,,,,,-0.10982606,-0.11014688,-0.10982612,,
1936,-0.1134041,,,,,-0.11407709,-0.11483848,-0.11339072,,,,,,,,,-0.1105435,-0.11083896,-0.11054348,,
1937,-0.11395079,,,,,-0.11504441,-0.11581882,-0.11435197,,,,,,,,,-0.11126063,-0.11153056,-0.111260615,,
1938,-0.11449717,,,,,-0.11601142,-0.11679986,-0.11531328,,,,,,,,,-0.11197829,-0.11222236,-0.11197827,,
1939,-0.11504401,,,,,-0.116978385,-0.117780715,-0.11627481,,,,,,,,,-0.1126952,-0.11291424,-0.11269529,,
1940,-0.11538902,,,,,-0.11738962,-0.118239775,-0.116643526,,,,,,,,,-0.11275588,-0.11294774,-0.11275588,,
1941,-0.11553234,,,,,-0.11724457,-0.11817791,-0.11642017,,,,,,,,,-0.112160034,-0.112322606,-0.112160034,,
1942,-0.11567519,,,,,-0.117099844,-0.11811654,-0.116196826,,,,,,,,,-0.11156403,-0.11169724,-0.11156406,,
