year,LUH2-GCB2024_rescaled,irrigation,total
1960,-0.1434520510538705,-0.021851934,-0.16530398505387048
1961,-0.14347581278586155,-0.022370523,-0.16584633578586155
1962,-0.14407263812835985,-0.0227436,-0.16681623812835986
1963,-0.1447311971885183,-0.02303158,-0.1677627771885183
1964,-0.14499095265791873,-0.023342085,-0.16833303765791874
1965,-0.14531808451476833,-0.023630211,-0.16894829551476834
1966,-0.14540535195435464,-0.024066597,-0.16947194895435463
1967,-0.14650117832826332,-0.024440219,-0.1709413973282633
1968,-0.14901692545509,-0.024965723,-0.17398264845508998
1969,-0.15085753261990836,-0.025360148,-0.17621768061990836
1970,-0.15186803674514351,-0.025779455,-0.17764749174514352
1971,-0.15220684824830616,-0.026287689,-0.17849453724830616
1972,-0.15224300785605335,-0.026819272,-0.17906227985605336
1973,-0.15291619759511224,-0.027521318,-0.18043751559511223
1974,-0.15347911281013862,-0.027959028,-0.18143814081013862
1975,-0.1535606558435135,-0.02846046,-0.1820211158435135
1976,-0.15364635661462772,-0.029067469,-0.18271382561462773
1977,-0.15458224094876377,-0.029577101,-0.18415934194876377
1978,-0.15584965833237674,-0.030213099,-0.18606275733237673
1979,-0.15615364275875024,-0.030704475,-0.18685811775875025
1980,-0.15656985944523127,-0.03121343,-0.18778328944523126
1981,-0.15715910742498002,-0.032025999,-0.18918510642498002
1982,-0.15753134233326468,-0.0326587,-0.1901900423332647
1983,-0.1582215106705247,-0.033135419,-0.1913569296705247
1984,-0.15873955798534908,-0.033645647,-0.19238520498534908
1985,-0.1589453386428304,-0.034198859,-0.1931441976428304
1986,-0.1590615062668827,-0.034746917,-0.1938084232668827
1987,-0.1592836818710311,-0.035189741,-0.1944734228710311
1988,-0.1594936033452316,-0.035610447,-0.1951040503452316
1989,-0.15919818386076146,-0.036079488,-0.19527767186076145
1990,-0.15881687425602276,-0.036636641,-0.19545351525602275
1991,-0.15785023434645434,-0.03703515,-0.19488538434645436
1992,-0.15653515708840252,-0.037497788,-0.19403294508840252
1993,-0.15597017388561488,-0.037837532,-0.19380770588561488
1994,-0.1553721193070667,-0.038272814,-0.19364493330706672
1995,-0.15450118415068823,-0.038801246,-0.1933024301506882
1996,-0.15424473458327187,-0.039425583,-0.19367031758327186
1997,-0.1544357835681106,-0.039845329,-0.1942811125681106
1998,-0.1544150276131636,-0.04027482,-0.1946898476131636
1999,-0.1545398631438458,-0.040698754,-0.1952386171438458
2000,-0.1545473151256485,-0.04124466,-0.1957919751256485
2001,-0.15356402423255014,-0.041960207,-0.19552423123255014
2002,-0.15190257966910467,-0.042750552,-0.19465313166910467
2003,-0.1505708689543872,-0.043562352,-0.1941332209543872
2004,-0.15,-0.04399098,-0.19399097999999998
2005,-0.1494991243753968,-0.044328604,-0.1938277283753968
2006,-0.14815767424869797,-0.044645451,-0.19280312524869797
2007,-0.14675410150408388,-0.04500011,-0.1917542115040839
2008,-0.14594561286375174,-0.045261435,-0.19120704786375176
2009,-0.1451431214359951,-0.045673371,-0.19081649243599508
2010,-0.14401739391186885,-0.046175723,-0.19019311691186885
2011,-0.14260400726347863,-0.046638091,-0.18924209826347863
2012,-0.14155004105083158,-0.047219841,-0.18876988205083156
2013,-0.14164992655176825,-0.047695311,-0.18934523755176824
2014,-0.14160341212716207,-0.04802544,-0.18962885212716207
2015,-0.14114103317204027,-0.048414367,-0.18955540017204026
2016,-0.1411874692958737,-0.048690667,-0.1898781362958737
2017,-0.14111054461264613,-0.048995987,-0.19010653161264612
2018,-0.14086248078365343,-0.049217109,-0.19007958978365344
2019,-0.14063316505480075,-0.05,-0.19063316505480077
2020,-0.14061834306749474,-0.050549341,-0.19116768406749474
2021,-0.1407904542782709,-0.050623851,-0.19141430527827089
2022,-0.14085306424282756,-0.050749437,-0.19160250124282757
2023,-0.14088355509749706,-0.051312817733333294,-0.19219637283083035
2024,-0.14088355509749706,-0.05167948441212111,-0.19256303950961817
