year,gcb-2025_rescaled,irrigation,total
1929,-0.1308993063372601,-0.009199111,-0.1400984173372601
1930,-0.13185029391633654,-0.009375984,-0.14122627791633655
1931,-0.13270531146233544,-0.009563293,-0.14226860446233544
1932,-0.13356029193279523,-0.00976143,-0.14332172193279522
1933,-0.134415357676995,-0.009970788,-0.144386145676995
1934,-0.13527048768546265,-0.010191759,-0.14546224668546265
1935,-0.13612516537235272,-0.010424734,-0.14654989937235272
1936,-0.13698047334340824,-0.010670107,-0.14765058034340825
1937,-0.13783518810583748,-0.01092827,-0.14876345810583746
1938,-0.13869015003852764,-0.011199614,-0.14988976403852763
1939,-0.13954521083932223,-0.011484533,-0.15102974383932222
1940,-0.13958661185803445,-0.011783418,-0.15137002985803444
1941,-0.1388140391884329,-0.012097003,-0.1509110421884329
1942,-0.13804117980132866,-0.012426993,-0.15046817280132865
1943,-0.13726850826362272,-0.012775271,-0.15004377926362272
1944,-0.13649590840529247,-0.013143715,-0.14963962340529247
1945,-0.13572343954720054,-0.013534208,-0.14925764754720053
1946,-0.13495079272652072,-0.01394863,-0.1488994227265207
1947,-0.13417829173629486,-0.01438886,-0.14856715173629487
1948,-0.13340536561322014,-0.014856781,-0.14826214661322012
1949,-0.13263293383066735,-0.015354273,-0.14798720683066735
1950,-0.13278546259871102,-0.015883215,-0.14866867759871102
1951,-0.13394846046913325,-0.016443684,-0.15039214446913324
1952,-0.1350495298306698,-0.017030095,-0.1520796248306698
1953,-0.13599228664005603,-0.017635752,-0.15362803864005603
1954,-0.13705340092890703,-0.018253962,-0.155307362928907
1955,-0.13818913591954443,-0.01887803,-0.15706716591954442
1956,-0.13917059341254176,-0.019501261,-0.15867185441254175
1957,-0.14004306117896506,-0.020116961,-0.16016002217896505
1958,-0.1403601868030442,-0.020718437,-0.16107862380304422
1959,-0.14042023063869,-0.021298993,-0.16171922363868999
1960,-0.14061594005132488,-0.021851934,-0.16246787405132487
1961,-0.1406981983141752,-0.022370523,-0.1630687213141752
1962,-0.14128142867706442,-0.0227436,-0.16402502867706442
1963,-0.1419483360601019,-0.02303158,-0.1649799160601019
1964,-0.14222705760488308,-0.023342085,-0.1655691426048831
1965,-0.14252946423992158,-0.023630211,-0.1661596752399216
1966,-0.14259266691150252,-0.024066597,-0.16665926391150251
1967,-0.14365874685089636,-0.024440219,-0.16809896585089634
1968,-0.1461266010196185,-0.024965723,-0.1710923240196185
1969,-0.14794364847610264,-0.025360148,-0.17330379647610264
1970,-0.14893009262911505,-0.025779455,-0.17470954762911506
1971,-0.1492693511142126,-0.026287689,-0.1755570401142126
1972,-0.1493268997660739,-0.026819272,-0.17614617176607392
1973,-0.14998806785565172,-0.027521318,-0.1775093858556517
1974,-0.15053296705446992,-0.027959028,-0.17849199505446992
1975,-0.15062411108820206,-0.02846046,-0.17908457108820205
1976,-0.15072222532329355,-0.029067469,-0.17978969432329356
1977,-0.15164624662689832,-0.029577101,-0.18122334762689832
1978,-0.15290289730920154,-0.030213099,-0.18311599630920153
1979,-0.15322646171857893,-0.030704475,-0.18393093671857894
1980,-0.15365073070738275,-0.03121343,-0.18486416070738276
1981,-0.15424450041019963,-0.032025999,-0.18627049941019963
1982,-0.1546132290055125,-0.0326587,-0.18727192900551248
1983,-0.1552854208887295,-0.033135419,-0.18842083988872949
1984,-0.15588427735551713,-0.033645647,-0.18952992435551713
1985,-0.1563056037823641,-0.034198859,-0.1905044627823641
1986,-0.1565743890826543,-0.034746917,-0.1913213060826543
1987,-0.1568334853087146,-0.035189741,-0.1920232263087146
1988,-0.15705013004245355,-0.035610447,-0.19266057704245354
1989,-0.15677336114273402,-0.036079488,-0.192852849142734
1990,-0.156331606093818,-0.036636641,-0.192968247093818
1991,-0.1552550313051434,-0.03703515,-0.19229018130514342
1992,-0.15407385406202695,-0.037497788,-0.19157164206202695
1993,-0.15366893479710306,-0.037837532,-0.19150646679710306
1994,-0.15314888115291742,-0.038272814,-0.1914216951529174
